Edge Label,Good,Fisher Prices,New Prices,Capacity
e1,"V007_1_dep, V002_39_arr",0.0,0.0,3.0
e2,"V007_1_arr, V007_1",0.0,0.0,1.0
e3,"V007_1, V007_1_dep",0.0,0.0,2.0
e4,"V007_1, V007_2",0.0,0.0,8.0
e5,"V007_2, V007_2_dep",0.0,0.0,2.0
e6,"V007_2, V007_3",0.0,0.0,8.0
e7,"V006_1_arr, V006_1",0.0,0.0,1.0
e8,"V006_1, V006_1_dep",0.0,0.0,4.0
e9,"V006_1, V006_2",0.0,0.0,8.0
e10,"V006_2, V006_2_dep",0.0,0.0,4.0
e11,"V006_2, V006_3",0.0,0.0,8.0
e12,"V001_1_dep, V002_6_arr",0.0,0.0,3.0
e13,"V001_1_arr, V001_1",0.0,0.0,2.0
e14,"V001_1, V001_1_dep",0.0,0.0,1.0
e15,"V001_1, V001_2",0.0,0.0,8.0
e16,"V001_2, V001_2_dep",0.0,0.0,1.0
e17,"V001_2, V001_3",0.0,0.0,8.0
e18,"V003_1_dep, V006_23_arr",0.0,0.0,4.0
e19,"V003_1_arr, V003_1",0.0,0.0,2.0
e20,"V003_1, V003_1_dep",0.0,0.0,1.0
e21,"V003_1, V003_2",0.0,0.0,8.0
e22,"V003_2, V003_2_dep",0.0,0.0,1.0
e23,"V003_2, V003_3",0.0,0.0,8.0
e24,"V002_1_arr, V002_1",0.0,0.0,1.0
e25,"V002_1, V002_1_dep",0.0,0.0,5.0
e26,"V002_1, V002_2",0.0,0.0,8.0
e27,"V002_2, V002_2_dep",0.0,0.0,5.0
e28,"V002_2, V002_3",0.0,0.0,8.0
e29,"V007_2_dep, V002_40_arr",0.0,0.0,3.0
e30,"V007_2_arr, V007_2",0.0,0.0,1.0
e31,"V007_3, V007_3_dep",0.0,0.0,2.0
e32,"V007_3, V007_4",0.0,0.0,8.0
e33,"V006_2_arr, V006_2",0.0,0.0,1.0
e34,"V006_3, V006_3_dep",0.0,0.0,4.0
e35,"V006_3, V006_4",0.0,0.0,8.0
e36,"V001_2_dep, V002_7_arr",0.0,0.0,3.0
e37,"V001_2_arr, V001_2",0.0,0.0,2.0
e38,"V001_3, V001_3_dep",0.0,0.0,1.0
e39,"V001_3, V001_4",0.0,0.0,8.0
e40,"V003_2_dep, V006_24_arr",0.0,0.0,4.0
e41,"V003_2_arr, V003_2",0.0,0.0,2.0
e42,"V003_3, V003_3_dep",0.0,0.0,1.0
e43,"V003_3, V003_4",0.0,0.0,8.0
e44,"V002_2_arr, V002_2",0.0,0.0,1.0
e45,"V002_3, V002_3_dep",0.0,0.0,5.0
e46,"V002_3, V002_4",0.0,0.0,8.0
e47,"V007_3_dep, V002_41_arr",0.0,0.0,3.0
e48,"V007_3_arr, V007_3",0.0,0.0,1.0
e49,"V007_4, V007_4_dep",0.0,0.0,2.0
e50,"V007_4, V007_5",0.0,0.0,8.0
e51,"V006_3_arr, V006_3",0.0,0.0,1.0
e52,"V006_4, V006_4_dep",0.0,0.0,4.0
e53,"V006_4, V006_5",0.0,0.0,8.0
e54,"V001_3_dep, V002_8_arr",0.0,0.0,3.0
e55,"V001_3_arr, V001_3",0.0,0.0,2.0
e56,"V001_4, V001_4_dep",0.0,0.0,1.0
e57,"V001_4, V001_5",0.0,0.0,8.0
e58,"V003_3_dep, V006_25_arr",0.0,0.0,4.0
e59,"V003_3_arr, V003_3",0.0,0.0,2.0
e60,"V003_4, V003_4_dep",0.0,0.0,1.0
e61,"V003_4, V003_5",0.0,0.0,8.0
e62,"V002_3_arr, V002_3",0.0,0.0,1.0
e63,"V002_4, V002_4_dep",0.0,0.0,5.0
e64,"V002_4, V002_5",0.0,0.0,8.0
e65,"V007_4_dep, V002_42_arr",0.0,0.0,3.0
e66,"V007_4_arr, V007_4",0.0,0.0,1.0
e67,"V007_5, V007_5_dep",0.0,0.0,2.0
e68,"V007_5, V007_6",0.0,0.0,8.0
e69,"V006_4_arr, V006_4",0.0,0.0,1.0
e70,"V006_5, V006_5_dep",0.0,0.0,4.0
e71,"V006_5, V006_6",0.0,0.0,8.0
e72,"V001_4_dep, V002_9_arr",0.0,0.0,3.0
e73,"V001_4_arr, V001_4",0.0,0.0,2.0
e74,"V001_5, V001_5_dep",0.0,0.0,1.0
e75,"V001_5, V001_6",0.0,0.0,8.0
e76,"V003_4_dep, V006_26_arr",0.0,0.0,4.0
e77,"V003_4_arr, V003_4",0.0,0.0,2.0
e78,"V003_5, V003_5_dep",0.0,0.0,1.0
e79,"V003_5, V003_6",0.0,0.0,8.0
e80,"V002_4_arr, V002_4",0.0,0.0,1.0
e81,"V002_5, V002_5_dep",0.0,0.0,5.0
e82,"V002_5, V002_6",0.0,0.0,8.0
e83,"V007_5_dep, V002_43_arr",0.0,0.0,3.0
e84,"V007_5_arr, V007_5",0.0,0.0,1.0
e85,"V007_6, V007_6_dep",0.0,0.0,2.0
e86,"V007_6, V007_7",0.0,0.0,8.0
e87,"V006_5_arr, V006_5",0.0,0.0,1.0
e88,"V006_6, V006_6_dep",0.0,0.0,4.0
e89,"V006_6, V006_7",0.0,0.0,8.0
e90,"V001_5_dep, V002_10_arr",0.0,0.0,3.0
e91,"V001_5_arr, V001_5",0.0,0.0,2.0
e92,"V001_6, V001_6_dep",0.0,0.0,1.0
e93,"V001_6, V001_7",0.0,0.0,8.0
e94,"V003_5_dep, V006_27_arr",0.0,0.0,4.0
e95,"V003_5_arr, V003_5",0.0,0.0,2.0
e96,"V003_6, V003_6_dep",0.0,0.0,1.0
e97,"V003_6, V003_7",0.0,0.0,8.0
e98,"V002_5_arr, V002_5",0.0,0.0,1.0
e99,"V002_6, V002_6_dep",0.0,0.0,5.0
e100,"V002_6, V002_7",0.0,0.0,8.0
e101,"V007_6_dep, V002_44_arr",0.0,0.0,3.0
e102,"V007_6_arr, V007_6",0.0,0.0,1.0
e103,"V007_7, V007_7_dep",0.0,0.0,2.0
e104,"V007_7, V007_8",0.0,0.0,8.0
e105,"V006_6_arr, V006_6",0.0,0.0,1.0
